DATE,TRESMX
1/1/2000,33642734255
2/1/2000,33311855539
3/1/2000,36371437175
4/1/2000,34684884346
5/1/2000,33566023523
6/1/2000,32974285058
7/1/2000,34322844447
8/1/2000,32882096793
9/1/2000,34108110735
10/1/2000,35270721722
11/1/2000,34689945570
12/1/2000,35508841926
1/1/2001,39421400821
2/1/2001,39105935089
3/1/2001,40233944974
4/1/2001,40309359624
5/1/2001,40561019575
6/1/2001,40758682063
7/1/2001,40820398533
8/1/2001,41167724500
9/1/2001,42805946540
10/1/2001,43369842832
11/1/2001,43858373670
12/1/2001,44740742122
1/1/2002,47222573096
2/1/2002,47058407920
3/1/2002,46197929805
4/1/2002,45080790858
5/1/2002,44911257677
6/1/2002,45524570507
7/1/2002,46055938486
8/1/2002,46488718258
9/1/2002,46607872176
10/1/2002,46067380520
11/1/2002,46770976307
12/1/2002,50594446760
1/1/2003,51501021726
2/1/2003,51953650558
3/1/2003,53883224779
4/1/2003,55035001205
5/1/2003,55691177124
6/1/2003,55197926804
7/1/2003,54134944575
8/1/2003,53937562205
9/1/2003,54789958832
10/1/2003,56164523994
11/1/2003,57251702537
12/1/2003,58955641644
1/1/2004,62952718441
2/1/2004,63062684930
3/1/2004,61590798944
4/1/2004,60303253907
5/1/2004,60277198219
6/1/2004,60408717246
7/1/2004,60278158730
8/1/2004,61030033689
9/1/2004,62208580890
10/1/2004,60909311129
11/1/2004,63688744557
12/1/2004,64140696567
1/1/2005,65019567416
2/1/2005,64005814685
3/1/2005,64054233083
4/1/2005,62755024128
5/1/2005,61882100247
6/1/2005,65550672900
7/1/2005,66437796340
8/1/2005,68179231973
9/1/2005,69930257415
10/1/2005,71153653320
11/1/2005,72730689254
12/1/2005,74054137349
1/1/2006,76742915516
2/1/2006,75569902316
3/1/2006,75949460373
4/1/2006,78372498225
5/1/2006,81382533512
6/1/2006,84873868836
7/1/2006,82990592224
8/1/2006,83637159778
9/1/2006,83389616364
10/1/2006,77515937348
11/1/2006,77004789470
12/1/2006,76270546023
1/1/2007,76762424130
2/1/2007,76589136720
3/1/2007,75772913442
4/1/2007,77497698344
5/1/2007,77937783025
6/1/2007,77863783511
7/1/2007,78171932049
8/1/2007,79397445082
9/1/2007,82070453362
10/1/2007,83639966335
11/1/2007,85449812326
12/1/2007,87109236214
1/1/2008,90677747107
2/1/2008,90246602679
3/1/2008,91042007360
4/1/2008,92717329172
5/1/2008,93878838365
6/1/2008,93969216022
7/1/2008,95393571156
8/1/2008,97003590635
9/1/2008,98744515589
10/1/2008,84878588652
11/1/2008,88543724748
12/1/2008,95126103499
1/1/2009,90226296864
2/1/2009,89998797456
3/1/2009,85471025127
4/1/2009,84037983869
5/1/2009,82943273683
6/1/2009,81230928342
7/1/2009,81968158120
8/1/2009,84375058067
9/1/2009,87517394891
10/1/2009,88360365430
11/1/2009,90369703512
12/1/2009,99589209743
1/1/2010,98380536852
2/1/2010,99674821385
3/1/2010,1.01313E+11
4/1/2010,1.03499E+11
5/1/2010,1.03549E+11
6/1/2010,1.05246E+11
7/1/2010,1.09259E+11
8/1/2010,1.11239E+11
9/1/2010,1.13367E+11
10/1/2010,1.15941E+11
11/1/2010,1.17087E+11
12/1/2010,1.20265E+11
1/1/2011,1.2323E+11
2/1/2011,1.25212E+11
3/1/2011,1.23625E+11
4/1/2011,1.26027E+11
5/1/2011,1.2594E+11
6/1/2011,1.28768E+11
7/1/2011,1.32962E+11
8/1/2011,1.37256E+11
9/1/2011,1.35598E+11
10/1/2011,1.39862E+11
11/1/2011,1.41226E+11
12/1/2011,1.43991E+11
1/1/2012,1.48179E+11
2/1/2012,1.48977E+11
3/1/2012,1.49397E+11
4/1/2012,1.52678E+11
5/1/2012,1.52325E+11
6/1/2012,1.56279E+11
7/1/2012,1.58597E+11
8/1/2012,1.58728E+11
9/1/2012,1.58453E+11
10/1/2012,1.60492E+11
11/1/2012,1.61367E+11
12/1/2012,1.60413E+11
1/1/2013,1.64594E+11
2/1/2013,1.65393E+11
3/1/2013,1.64909E+11
4/1/2013,1.6684E+11
5/1/2013,1.64538E+11
6/1/2013,1.64153E+11
7/1/2013,1.67582E+11
8/1/2013,1.67976E+11
9/1/2013,1.69734E+11
10/1/2013,1.71909E+11
11/1/2013,1.73972E+11
12/1/2013,1.75432E+11
1/1/2014,1.78054E+11
2/1/2014,1.78521E+11
3/1/2014,1.80369E+11
4/1/2014,1.83758E+11
5/1/2014,1.85648E+11
6/1/2014,1.87324E+11
7/1/2014,1.87798E+11
8/1/2014,1.88281E+11
9/1/2014,1.88516E+11
10/1/2014,1.92422E+11
11/1/2014,1.92047E+11
12/1/2014,1.90923E+11
1/1/2015,1.94192E+11
2/1/2015,1.93439E+11
3/1/2015,1.93092E+11
4/1/2015,1.93677E+11
5/1/2015,1.9177E+11
6/1/2015,1.89704E+11
7/1/2015,1.89025E+11
8/1/2015,1.82713E+11
9/1/2015,1.77567E+11
10/1/2015,1.72655E+11
11/1/2015,1.68528E+11
12/1/2015,1.73458E+11
1/1/2016,1.71983E+11
2/1/2016,1.73636E+11
3/1/2016,1.74892E+11
4/1/2016,1.77108E+11
5/1/2016,1.74629E+11
6/1/2016,1.73686E+11
7/1/2016,1.74427E+11
8/1/2016,1.72744E+11
9/1/2016,1.75359E+11
10/1/2016,1.71916E+11
11/1/2016,1.71341E+11
12/1/2016,1.73536E+11
1/1/2017,1.71996E+11
2/1/2017,1.74893E+11
3/1/2017,1.73896E+11
4/1/2017,1.71852E+11
5/1/2017,1.71223E+11
6/1/2017,1.70598E+11
7/1/2017,1.70385E+11
8/1/2017,1.69617E+11
9/1/2017,1.69916E+11
10/1/2017,1.71523E+11
11/1/2017,1.69015E+11
12/1/2017,1.70458E+11
1/1/2018,1.74115E+11
2/1/2018,1.72526E+11
3/1/2018,1.72435E+11
4/1/2018,1.72106E+11
5/1/2018,1.73387E+11
6/1/2018,1.73172E+11
7/1/2018,1.71902E+11
8/1/2018,1.71851E+11
9/1/2018,1.72448E+11
10/1/2018,1.71884E+11
11/1/2018,1.71871E+11
12/1/2018,1.71445E+11
1/1/2019,1.75243E+11
2/1/2019,1.75922E+11
3/1/2019,1.77071E+11
4/1/2019,1.79699E+11
5/1/2019,1.8041E+11
6/1/2019,1.80762E+11
7/1/2019,1.82438E+11
8/1/2019,1.83456E+11
9/1/2019,1.77178E+11
10/1/2019,1.77881E+11
11/1/2019,1.79655E+11
12/1/2019,1.77177E+11
1/1/2020,1.8304E+11
2/1/2020,1.82193E+11
3/1/2020,1.83567E+11
4/1/2020,1.89572E+11
5/1/2020,1.90725E+11
6/1/2020,1.90233E+11
7/1/2020,1.90313E+11
8/1/2020,1.9109E+11
9/1/2020,1.92539E+11
10/1/2020,1.91459E+11
11/1/2020,1.94487E+11
12/1/2020,1.91769E+11
1/1/2021,1.95996E+11
2/1/2021,1.935E+11
3/1/2021,1.92784E+11
4/1/2021,1.95087E+11
5/1/2021,1.92802E+11
6/1/2021,1.92775E+11
7/1/2021,1.93419E+11
8/1/2021,2.0467E+11
9/1/2021,2.05282E+11
10/1/2021,2.04768E+11
11/1/2021,2.05806E+11
12/1/2021,2.00775E+11
1/1/2022,2.02806E+11
2/1/2022,2.02639E+11
3/1/2022,2.02087E+11
4/1/2022,1.9974E+11
5/1/2022,1.98957E+11
6/1/2022,1.9658E+11
7/1/2022,1.96787E+11
8/1/2022,1.98478E+11
9/1/2022,1.95673E+11
10/1/2022,1.94915E+11
11/1/2022,1.95474E+11
12/1/2022,1.94125E+11
1/1/2023,1.98899E+11
2/1/2023,1.97619E+11
3/1/2023,1.98636E+11
4/1/2023,2.00031E+11
5/1/2023,1.99856E+11
6/1/2023,2.03022E+11
7/1/2023,2.03603E+11
8/1/2023,2.02874E+11
9/1/2023,2.02376E+11
